shipping_id,order_id,shipping_date,return_date,shipping_providers,delivery_status
62,1367,1/8/2022,,fedex,Delivered
63,729,4/3/2021,,fedex,Delivered
64,9636,12/5/2020,,fedex,Delivered
65,10662,6/12/2020,,fedex,Delivered
66,12024,6/11/2020,,fedex,Delivered
67,3939,11/17/2022,,fedex,Delivered
68,3645,5/3/2022,,fedex,Delivered
69,8474,11/4/2021,,fedex,Delivered
70,13075,8/18/2020,,fedex,Delivered
71,9074,10/19/2022,,fedex,Delivered
72,11204,4/5/2022,,fedex,Delivered
73,9488,11/2/2020,,fedex,Delivered
74,16046,1/18/2020,,fedex,Delivered
75,6633,10/4/2023,,fedex,Delivered
76,8038,5/15/2020,,fedex,Delivered
77,8964,6/30/2023,,fedex,Delivered
78,13205,3/3/2020,,fedex,Delivered
79,12634,1/8/2024,,fedex,Delivered
80,5007,1/23/2024,,fedex,Delivered
81,7220,11/22/2023,,fedex,Delivered
82,489,11/1/2022,,fedex,Delivered
83,14679,8/24/2022,,fedex,Delivered
84,2709,5/6/2022,,fedex,Delivered
85,19599,4/24/2022,,fedex,Delivered
86,17140,8/23/2023,,fedex,Delivered
87,2601,6/19/2023,,fedex,Delivered
88,4205,2/19/2023,,fedex,Delivered
89,15928,5/23/2022,,fedex,Delivered
90,4449,4/23/2022,,fedex,Delivered
91,3361,7/7/2022,,fedex,Delivered
92,4875,11/30/2021,,fedex,Delivered
93,5535,10/4/2021,,fedex,Delivered
94,3323,1/30/2024,,fedex,Delivered
95,5837,10/26/2023,,fedex,Delivered
96,18949,1/12/2021,,fedex,Delivered
97,5957,10/15/2020,,fedex,Delivered
98,9442,5/18/2020,,fedex,Delivered
99,18433,9/6/2023,,fedex,Delivered
100,7248,4/2/2023,,fedex,Delivered
101,11046,12/19/2022,,fedex,Delivered
102,1347,8/3/2023,,fedex,Delivered
103,18357,5/9/2023,,fedex,Delivered
104,13745,2/4/2020,,fedex,Delivered
105,8628,11/17/2023,,fedex,Delivered
106,15025,10/4/2022,,fedex,Delivered
107,4761,4/27/2023,,fedex,Delivered
108,3309,10/7/2021,,fedex,Delivered
109,12174,1/18/2020,,fedex,Delivered
110,15187,1/12/2020,,fedex,Delivered
111,87,10/19/2023,,fedex,Delivered
112,14627,7/18/2023,,fedex,Delivered
113,14527,9/4/2022,,fedex,Delivered
114,8382,9/30/2021,,fedex,Delivered
115,13217,12/27/2020,,fedex,Delivered
116,15625,8/20/2020,,fedex,Delivered
117,17556,6/24/2020,,fedex,Delivered
118,1095,1/5/2020,,fedex,Delivered
119,13717,6/22/2023,,fedex,Delivered
120,521,4/26/2022,,fedex,Delivered
121,19929,2/15/2022,,fedex,Delivered
122,10582,10/12/2021,,fedex,Delivered
123,16242,2/27/2020,,fedex,Delivered
124,15724,9/11/2022,,fedex,Delivered
125,8720,6/20/2020,,fedex,Delivered
126,16628,1/24/2024,,fedex,Delivered
127,6323,1/19/2023,,fedex,Delivered
128,109,1/8/2024,,fedex,Delivered
129,3049,1/27/2021,,fedex,Delivered
130,15814,1/28/2021,,fedex,Delivered
131,14319,9/8/2020,,fedex,Delivered
132,15716,8/23/2020,,fedex,Delivered
133,18913,2/21/2023,,fedex,Delivered
134,3671,5/6/2022,,fedex,Delivered
135,17086,10/5/2023,,fedex,Delivered
136,12876,7/10/2022,,fedex,Delivered
137,2379,3/16/2020,,fedex,Delivered
138,14965,1/21/2023,,fedex,Delivered
139,1733,1/9/2023,,fedex,Delivered
140,17106,5/1/2021,,fedex,Delivered
141,10428,7/17/2020,,fedex,Delivered
142,12844,6/24/2023,,fedex,Delivered
143,11418,12/4/2021,,fedex,Delivered
144,7132,10/5/2023,,fedex,Delivered
145,9728,7/17/2023,,fedex,Delivered
146,8736,3/6/2022,,fedex,Delivered
147,17699,12/21/2020,,fedex,Delivered
148,527,1/5/2024,,fedex,Delivered
149,11588,8/1/2023,,fedex,Delivered
150,17877,12/24/2022,,fedex,Delivered
151,1109,10/6/2022,,fedex,Delivered
152,17400,9/22/2020,,fedex,Delivered
153,2841,4/18/2023,,fedex,Delivered
154,19589,11/20/2022,,fedex,Delivered
155,9002,8/30/2021,,fedex,Delivered
156,13225,7/7/2020,,fedex,Delivered
157,423,12/21/2023,,fedex,Delivered
158,10622,11/14/2022,,fedex,Delivered
159,7444,6/21/2022,,fedex,Delivered
160,1239,6/7/2022,,fedex,Delivered
161,3815,10/4/2021,,fedex,Delivered
162,3475,9/1/2021,,fedex,Delivered
163,8782,3/24/2023,,fedex,Delivered
164,17230,12/16/2021,,fedex,Delivered
165,4989,6/5/2020,,fedex,Delivered
166,14433,1/13/2023,,fedex,Delivered
167,14137,4/6/2023,,fedex,Delivered
168,2965,4/3/2023,,fedex,Delivered
169,12110,3/30/2022,,fedex,Delivered
170,6589,3/24/2020,,fedex,Delivered
171,13223,4/4/2023,,fedex,Delivered
172,5345,3/3/2023,,fedex,Delivered
173,19961,9/18/2021,,fedex,Delivered
174,11404,1/31/2021,,fedex,Delivered
175,7046,9/1/2023,,fedex,Delivered
176,13421,6/14/2023,,fedex,Delivered
177,289,1/31/2020,,fedex,Delivered
178,4479,5/20/2023,,fedex,Delivered
179,6217,12/17/2022,,fedex,Delivered
180,105,5/8/2022,,fedex,Delivered
181,16612,5/1/2022,,fedex,Delivered
182,17983,3/5/2022,,fedex,Delivered
183,13127,9/15/2021,,fedex,Delivered
184,11254,7/9/2021,,fedex,Delivered
185,19661,7/14/2020,,fedex,Delivered
186,18053,9/2/2022,,fedex,Delivered
187,15373,8/10/2022,,fedex,Delivered
188,6867,1/8/2021,,fedex,Delivered
189,5991,12/8/2023,,fedex,Delivered
190,19539,11/24/2023,,fedex,Delivered
191,11432,10/29/2023,,fedex,Delivered
192,18469,6/5/2023,,fedex,Delivered
193,16756,9/18/2021,,fedex,Delivered
194,5749,5/4/2021,,fedex,Delivered
195,18815,2/8/2020,,fedex,Delivered
196,1079,8/13/2023,,fedex,Delivered
197,9936,9/18/2022,,fedex,Delivered
198,3175,4/7/2023,,fedex,Delivered
199,14735,5/21/2022,,fedex,Delivered
200,13643,11/18/2021,,fedex,Delivered
201,14487,6/14/2020,,fedex,Delivered
202,5875,3/3/2023,,fedex,Delivered
203,10162,2/8/2022,,fedex,Delivered
204,8954,1/11/2021,,fedex,Delivered
205,18121,11/11/2020,,fedex,Delivered
206,13549,3/7/2020,,fedex,Delivered
207,14463,6/11/2022,,fedex,Delivered
208,1583,11/3/2021,,fedex,Delivered
209,16684,10/17/2021,,fedex,Delivered
210,11266,7/26/2021,,fedex,Delivered
211,12108,12/2/2020,,fedex,Delivered
212,15405,4/16/2020,,fedex,Delivered
213,19833,7/8/2023,,fedex,Delivered
214,23,4/20/2023,,fedex,Delivered
215,8096,12/15/2022,,fedex,Delivered
216,10598,9/7/2021,,fedex,Delivered
217,2427,11/13/2022,,fedex,Delivered
218,12058,5/18/2023,,fedex,Delivered
219,5099,5/21/2021,,fedex,Delivered
220,3653,8/8/2020,,fedex,Delivered
221,5257,3/13/2020,,fedex,Delivered
222,2005,5/11/2022,,fedex,Delivered
223,8026,11/22/2021,,fedex,Delivered
224,15593,2/20/2021,,fedex,Delivered
225,10896,12/9/2022,,fedex,Delivered
226,19551,11/1/2022,,fedex,Delivered
227,18017,3/26/2020,,fedex,Delivered
228,1541,1/1/2024,,fedex,Delivered
229,9132,11/25/2023,,fedex,Delivered
230,2451,1/27/2023,,fedex,Delivered
231,12832,4/1/2022,,fedex,Delivered
232,11778,3/21/2021,,fedex,Delivered
233,13057,3/16/2021,,fedex,Delivered
234,12884,11/18/2023,,fedex,Delivered
235,3239,9/10/2023,,fedex,Delivered
236,11066,2/23/2022,,fedex,Delivered
237,16156,10/30/2020,,fedex,Delivered
238,9876,8/18/2023,,fedex,Delivered
239,7716,11/10/2022,,fedex,Delivered
240,10948,8/27/2022,,fedex,Delivered
241,8364,11/22/2020,,fedex,Delivered
242,3519,8/25/2020,,fedex,Delivered
243,2201,7/2/2020,,fedex,Delivered
244,6955,6/27/2020,,fedex,Delivered
245,18257,8/25/2023,,fedex,Delivered
246,12856,7/11/2021,,fedex,Delivered
247,12964,12/21/2020,,fedex,Delivered
248,6413,4/9/2020,,fedex,Delivered
249,13373,1/4/2024,,fedex,Delivered
250,18035,11/29/2023,,fedex,Delivered
251,9456,11/4/2023,,fedex,Delivered
252,10908,10/12/2021,,fedex,Delivered
253,6097,9/24/2021,,fedex,Delivered
254,4745,1/21/2024,,fedex,Delivered
255,18603,2/12/2023,,fedex,Delivered
256,2089,6/13/2022,,fedex,Delivered
257,12989,2/28/2022,,fedex,Delivered
258,5781,11/4/2021,,fedex,Delivered
259,11206,8/13/2020,,fedex,Delivered
260,7846,2/3/2023,,fedex,Delivered
261,9792,1/18/2023,,fedex,Delivered
262,19051,5/7/2022,,fedex,Delivered
263,15065,7/30/2020,,fedex,Delivered
264,10526,12/23/2022,,fedex,Delivered
265,16116,11/26/2022,,fedex,Delivered
266,12782,9/24/2022,,fedex,Delivered
267,3951,3/6/2022,,fedex,Delivered
268,17785,7/3/2021,,fedex,Delivered
269,6731,6/21/2021,,fedex,Delivered
270,13519,3/11/2020,,fedex,Delivered
271,11906,12/7/2021,,fedex,Delivered
272,2689,6/11/2020,,fedex,Delivered
273,17484,10/6/2023,,fedex,Delivered
274,12144,8/7/2023,,fedex,Delivered
275,8112,1/30/2024,,fedex,Delivered
276,7162,11/27/2023,,fedex,Delivered
277,3303,9/14/2023,,fedex,Delivered
278,9612,2/18/2022,,fedex,Delivered
279,14371,1/6/2022,,fedex,Delivered
280,9038,5/16/2020,,fedex,Delivered
281,14067,6/9/2023,,fedex,Delivered
282,1821,10/19/2022,,fedex,Delivered
283,17669,12/15/2020,,fedex,Delivered
284,19027,5/31/2020,,fedex,Delivered
285,19807,3/7/2020,,fedex,Delivered
286,15115,3/24/2022,,fedex,Delivered
287,1995,12/12/2020,,fedex,Delivered
288,15912,6/27/2020,,fedex,Delivered
289,3597,11/30/2023,,fedex,Delivered
290,5317,1/29/2024,,fedex,Delivered
291,5097,8/11/2023,,fedex,Delivered
292,12242,3/20/2021,,fedex,Delivered
293,3251,1/15/2024,,fedex,Delivered
294,7200,10/6/2022,,fedex,Delivered
295,5863,4/12/2021,,fedex,Delivered
296,5561,1/28/2023,,fedex,Delivered
297,17599,12/20/2021,,fedex,Delivered
298,5,10/1/2020,,fedex,Delivered
299,10374,11/16/2022,,fedex,Delivered
300,19257,9/24/2022,,fedex,Delivered
301,5003,11/28/2021,,fedex,Delivered
302,16640,4/10/2020,,fedex,Delivered
303,5399,1/14/2024,,fedex,Delivered
304,18231,12/29/2023,,fedex,Delivered
305,6073,6/6/2023,,fedex,Delivered
306,6965,2/24/2022,,fedex,Delivered
307,14391,12/9/2021,,fedex,Delivered
308,15874,5/31/2021,,fedex,Delivered
309,6143,3/9/2021,,fedex,Delivered
310,1291,1/11/2021,,fedex,Delivered
311,5747,10/23/2020,,fedex,Delivered
312,14883,5/6/2022,,fedex,Delivered
313,7900,9/12/2021,,fedex,Delivered
314,15671,2/24/2021,,fedex,Delivered
315,13807,12/23/2020,,fedex,Delivered
316,7512,5/5/2020,,fedex,Delivered
317,18501,4/20/2020,,fedex,Delivered
318,11982,8/12/2023,,fedex,Delivered
319,17977,7/6/2022,,fedex,Delivered
320,8894,2/21/2021,,fedex,Delivered
321,6355,2/9/2021,,fedex,Delivered
322,10124,12/14/2020,,fedex,Delivered
323,9744,12/2/2020,,fedex,Delivered
324,19805,10/19/2020,,fedex,Delivered
325,4773,7/5/2020,,fedex,Delivered
326,19953,7/5/2020,,fedex,Delivered
327,4637,6/30/2020,,fedex,Delivered
328,5619,5/12/2020,,fedex,Delivered
329,6957,3/27/2022,,fedex,Delivered
330,10580,10/15/2021,,fedex,Delivered
331,7822,9/4/2021,,fedex,Delivered
332,5505,6/2/2021,,fedex,Delivered
333,16992,10/23/2021,,fedex,Delivered
334,9576,7/5/2021,,fedex,Delivered
335,14775,2/14/2021,,fedex,Delivered
336,4295,1/30/2021,,fedex,Delivered
337,16704,6/2/2020,,fedex,Delivered
338,9832,8/24/2022,,fedex,Delivered
339,2033,7/12/2022,,fedex,Delivered
340,5429,2/12/2020,,fedex,Delivered
341,10402,2/5/2024,,fedex,Delivered
342,17298,5/1/2020,,fedex,Delivered
343,2001,7/25/2023,,fedex,Delivered
344,16320,12/25/2022,,fedex,Delivered
345,5557,9/28/2021,,fedex,Delivered
346,16400,3/18/2021,,fedex,Delivered
347,6211,9/4/2020,,fedex,Delivered
348,7870,1/22/2024,,fedex,Delivered
349,11740,6/14/2023,,fedex,Delivered
350,16568,11/2/2022,,fedex,Delivered
351,3867,1/15/2021,,fedex,Delivered
352,2445,11/3/2023,,fedex,Delivered
353,13715,5/20/2023,,fedex,Delivered
354,15019,11/24/2020,,fedex,Delivered
355,8848,11/15/2021,,fedex,Delivered
356,8534,9/24/2021,,fedex,Delivered
357,19119,10/6/2020,,fedex,Delivered
358,14079,8/5/2020,,fedex,Delivered
359,14247,5/24/2020,,fedex,Delivered
360,8680,8/12/2022,,fedex,Delivered
361,4283,1/7/2021,,fedex,Delivered
362,3971,11/10/2020,,fedex,Delivered
363,10530,4/26/2020,,fedex,Delivered
364,16620,10/4/2023,,fedex,Delivered
365,15776,2/26/2023,,fedex,Delivered
366,9080,12/25/2022,,fedex,Delivered
367,14637,8/24/2022,,fedex,Delivered
368,6185,11/10/2021,,fedex,Delivered
369,15603,6/15/2020,,fedex,Delivered
370,18553,10/13/2023,,fedex,Delivered
371,5113,1/30/2022,,fedex,Delivered
372,13967,12/11/2020,,fedex,Delivered
373,4727,5/23/2020,,fedex,Delivered
374,11088,8/16/2023,,fedex,Delivered
375,19561,10/27/2022,,fedex,Delivered
376,15764,8/31/2021,,fedex,Delivered
377,13279,6/12/2021,,fedex,Delivered
378,1565,4/13/2021,,fedex,Delivered
379,9818,1/8/2021,,fedex,Delivered
380,13111,6/18/2022,,fedex,Delivered
381,18793,3/20/2022,,fedex,Delivered
382,2037,12/10/2021,,fedex,Delivered
383,1717,11/12/2021,,fedex,Delivered
384,1967,8/7/2021,,fedex,Delivered
385,17589,11/4/2023,,fedex,Delivered
386,17749,5/25/2021,,fedex,Delivered
387,8456,9/21/2022,,fedex,Delivered
388,11886,7/1/2021,,fedex,Delivered
389,10022,8/28/2023,,fedex,Delivered
390,1373,3/19/2020,,fedex,Delivered
391,12312,8/12/2023,,fedex,Delivered
392,7344,8/14/2023,,fedex,Delivered
393,12292,7/19/2021,,fedex,Delivered
394,8192,9/6/2023,,fedex,Delivered
395,883,3/20/2023,,fedex,Delivered
396,13739,12/28/2023,,fedex,Delivered
397,13093,3/18/2023,,fedex,Delivered
398,9234,3/3/2020,,fedex,Delivered
399,9564,1/13/2020,,fedex,Delivered
400,3009,12/4/2023,,fedex,Delivered
401,4223,10/23/2023,,fedex,Delivered
402,15738,5/7/2023,,fedex,Delivered
403,19175,10/30/2021,,fedex,Delivered
404,3811,9/30/2021,,fedex,Delivered
405,19039,10/7/2020,,fedex,Delivered
406,16316,5/18/2023,,fedex,Delivered
407,16062,2/28/2023,,fedex,Delivered
408,18427,9/8/2023,,fedex,Delivered
409,6763,7/17/2020,,fedex,Delivered
410,19947,6/17/2020,,fedex,Delivered
411,15381,10/11/2022,,fedex,Delivered
412,15075,8/1/2022,,fedex,Delivered
413,14879,5/11/2022,,fedex,Delivered
414,6347,12/26/2020,,fedex,Delivered
415,3483,7/31/2020,,fedex,Delivered
416,7056,4/24/2020,,fedex,Delivered
417,6849,1/7/2024,,fedex,Delivered
418,16054,8/26/2023,,fedex,Delivered
419,14859,2/14/2022,,fedex,Delivered
420,7776,7/10/2020,,fedex,Delivered
421,18381,6/12/2020,,fedex,Delivered
422,4845,2/24/2020,,fedex,Delivered
423,9748,12/21/2023,,fedex,Delivered
424,11656,4/14/2023,,fedex,Delivered
425,12690,3/19/2022,,fedex,Delivered
426,6111,4/14/2021,,fedex,Delivered
427,17965,11/11/2020,,fedex,Delivered
428,9784,1/3/2024,,fedex,Delivered
429,16916,8/10/2023,,fedex,Delivered
430,2625,6/16/2023,,fedex,Delivered
431,6707,1/28/2023,,fedex,Delivered
432,5179,1/19/2022,,fedex,Delivered
433,8328,4/11/2021,,fedex,Delivered
434,17424,6/29/2020,,fedex,Delivered
435,6517,4/5/2021,,fedex,Delivered
436,16268,10/9/2020,,fedex,Delivered
437,15455,4/8/2020,,fedex,Delivered
438,12278,9/21/2023,,fedex,Delivered
439,12258,8/1/2023,,fedex,Delivered
440,8278,8/18/2021,,fedex,Delivered
441,1185,7/25/2021,,fedex,Delivered
442,10084,2/29/2020,,fedex,Delivered
443,15730,7/27/2022,,fedex,Delivered
444,17166,5/18/2021,,fedex,Delivered
445,15263,3/8/2020,,fedex,Delivered
446,15774,1/22/2024,,fedex,Delivered
447,2859,11/20/2023,,fedex,Delivered
448,8470,1/15/2023,,fedex,Delivered
449,3975,12/4/2022,,fedex,Delivered
450,17272,10/29/2022,,fedex,Delivered
451,7734,6/9/2022,,fedex,Delivered
452,17811,1/9/2021,,fedex,Delivered
453,1283,7/17/2020,,fedex,Delivered
454,11814,6/15/2020,,fedex,Delivered
455,7228,10/2/2023,,fedex,Delivered
456,19129,1/21/2021,,fedex,Delivered
457,4043,5/28/2022,,fedex,Delivered
458,4009,9/22/2020,,fedex,Delivered
459,3709,9/11/2023,,fedex,Delivered
460,12612,9/11/2022,,fedex,Delivered
461,12348,7/12/2022,,fedex,Delivered
462,11612,7/22/2021,,fedex,Delivered
463,13021,2/14/2021,,fedex,Delivered
464,325,9/17/2022,,fedex,Delivered
465,9724,9/12/2022,,fedex,Delivered
466,13891,8/17/2022,,fedex,Delivered
467,19345,4/21/2022,,fedex,Delivered
468,6373,8/10/2020,,fedex,Delivered
469,7372,7/13/2020,,fedex,Delivered
470,1743,5/4/2020,,fedex,Delivered
471,9604,5/1/2023,,fedex,Delivered
472,12952,3/27/2022,,fedex,Delivered
473,443,1/30/2022,,fedex,Delivered
474,18205,2/13/2023,,fedex,Delivered
475,5377,7/27/2022,,fedex,Delivered
476,10262,6/18/2022,,fedex,Delivered
477,10612,5/24/2022,,fedex,Delivered
478,15111,11/20/2021,,fedex,Delivered
479,3385,1/26/2021,,fedex,Delivered
480,18545,11/20/2023,,fedex,Delivered
481,4731,1/31/2023,,fedex,Delivered
482,599,1/2/2023,,fedex,Delivered
483,6053,3/27/2022,,fedex,Delivered
484,8924,7/13/2021,,fedex,Delivered
485,3787,1/11/2023,,fedex,Delivered
486,6423,12/30/2022,,fedex,Delivered
487,4047,5/17/2021,,fedex,Delivered
488,8936,9/23/2023,,fedex,Delivered
489,2139,12/31/2022,,fedex,Delivered
490,1251,10/13/2022,,fedex,Delivered
491,1723,7/28/2021,,fedex,Delivered
492,14163,7/23/2021,,fedex,Delivered
493,699,4/19/2021,,fedex,Delivered
494,1487,4/19/2020,,fedex,Delivered
495,8164,2/5/2020,,fedex,Delivered
496,10350,9/4/2023,,fedex,Delivered
497,8454,8/13/2022,,fedex,Delivered
498,11374,9/29/2023,,fedex,Delivered
499,6395,7/1/2023,,fedex,Delivered
500,15876,5/10/2023,,fedex,Delivered
501,18115,11/2/2022,,fedex,Delivered
502,17162,3/10/2022,,fedex,Delivered
503,17661,6/20/2021,,fedex,Delivered
504,2493,12/29/2023,,fedex,Delivered
505,16428,3/15/2021,,fedex,Delivered
506,3183,12/7/2020,,fedex,Delivered
507,17442,5/29/2020,,fedex,Delivered
508,17276,1/2/2020,,fedex,Delivered
509,217,1/4/2024,,fedex,Delivered
510,16896,11/27/2023,,fedex,Delivered
511,4759,6/30/2023,,fedex,Delivered
512,55,6/21/2023,,fedex,Delivered
513,981,9/6/2023,,fedex,Delivered
514,18971,8/23/2023,,fedex,Delivered
515,8084,2/28/2022,,fedex,Delivered
516,771,7/15/2021,,fedex,Delivered
517,16510,4/7/2022,,fedex,Delivered
518,14537,5/17/2021,,fedex,Delivered
519,6313,10/1/2023,,fedex,Delivered
520,13419,6/7/2022,,fedex,Delivered
521,1429,5/8/2021,,fedex,Delivered
522,15792,6/20/2020,,fedex,Delivered
523,8586,10/23/2022,,fedex,Delivered
524,12534,3/30/2022,,fedex,Delivered
525,11922,2/6/2021,,fedex,Delivered
526,5639,4/20/2020,,fedex,Delivered
527,909,11/24/2023,,fedex,Delivered
528,5077,7/23/2023,,fedex,Delivered
529,13081,6/22/2021,,fedex,Delivered
530,17274,7/20/2020,,fedex,Delivered
531,4667,11/30/2023,,fedex,Delivered
532,19779,8/1/2022,,fedex,Delivered
533,19735,5/10/2021,,fedex,Delivered
534,13797,2/9/2021,,fedex,Delivered
535,5069,8/25/2020,,fedex,Delivered
536,2851,1/13/2024,,fedex,Delivered
537,19571,5/9/2022,,fedex,Delivered
538,5265,11/2/2021,,fedex,Delivered
539,19193,1/31/2024,,fedex,Delivered
540,9534,12/29/2023,,fedex,Delivered
541,5955,10/19/2021,,fedex,Delivered
542,2463,1/8/2024,,fedex,Delivered
543,10318,5/14/2023,,fedex,Delivered
544,19287,9/8/2022,,fedex,Delivered
545,17362,2/9/2022,,fedex,Delivered
546,761,10/2/2020,,fedex,Delivered
547,3191,1/21/2020,,fedex,Delivered
548,15185,1/7/2024,,fedex,Delivered
549,2433,6/2/2023,,fedex,Delivered
550,5555,7/12/2022,,fedex,Delivered
551,6433,9/2/2021,,fedex,Delivered
552,9874,3/13/2021,,fedex,Delivered
553,7042,12/10/2020,,fedex,Delivered
554,5667,2/5/2022,,fedex,Delivered
555,17096,5/26/2021,,fedex,Delivered
556,5311,1/26/2021,,fedex,Delivered
557,15483,12/25/2023,,fedex,Delivered
558,11828,10/21/2023,,fedex,Delivered
559,6293,1/7/2023,,fedex,Delivered
560,10716,12/1/2022,,fedex,Delivered
561,10134,3/28/2022,,fedex,Delivered
562,8106,8/17/2020,,fedex,Delivered
563,1325,3/24/2020,,fedex,Delivered
564,4151,2/8/2022,,fedex,Delivered
565,12432,11/17/2021,,fedex,Delivered
566,19091,2/16/2020,,fedex,Delivered
567,3101,9/11/2021,,fedex,Delivered
568,6311,7/22/2020,,fedex,Delivered
569,6569,6/8/2020,,fedex,Delivered
570,9544,2/12/2024,,fedex,Delivered
571,1137,12/22/2022,,fedex,Delivered
572,8804,9/12/2022,,fedex,Delivered
573,9484,2/24/2021,,fedex,Delivered
574,13721,1/9/2024,,fedex,Delivered
575,8500,12/13/2022,,fedex,Delivered
576,10484,3/13/2021,,fedex,Delivered
577,17120,4/7/2023,,fedex,Delivered
578,15728,8/18/2022,,fedex,Delivered
579,213,5/9/2021,,fedex,Delivered
580,16650,1/30/2023,,fedex,Delivered
581,2349,12/31/2022,,fedex,Delivered
582,19451,2/17/2021,,fedex,Delivered
583,10146,7/10/2022,,fedex,Delivered
584,18741,7/30/2021,,fedex,Delivered
585,14225,4/7/2020,,fedex,Delivered
586,11450,12/21/2021,,fedex,Delivered
587,18377,12/21/2020,,fedex,Delivered
588,17967,10/30/2020,,fedex,Delivered
589,7556,5/31/2020,,fedex,Delivered
590,18145,2/28/2023,,fedex,Delivered
591,3665,11/9/2021,,fedex,Delivered
592,15105,1/1/2021,,fedex,Delivered
593,15952,6/28/2020,,fedex,Delivered
594,16556,4/17/2020,,fedex,Delivered
595,8864,2/14/2023,,fedex,Delivered
596,17094,2/25/2020,,fedex,Delivered
597,14961,2/5/2024,,fedex,Delivered
598,6729,2/22/2023,,fedex,Delivered
599,16646,12/7/2022,,fedex,Delivered
600,8788,10/3/2021,,fedex,Delivered
601,5163,2/1/2021,,fedex,Delivered
602,16130,8/13/2020,,fedex,Delivered
603,16008,3/22/2020,,fedex,Delivered
604,14185,3/11/2022,,fedex,Delivered
605,13939,10/20/2020,,fedex,Delivered
606,6291,9/22/2020,,fedex,Delivered
607,3333,6/24/2020,,fedex,Delivered
608,9166,6/22/2023,,fedex,Delivered
609,18799,9/7/2022,,fedex,Delivered
610,3979,7/16/2021,,fedex,Delivered
611,11576,4/10/2021,,fedex,Delivered
612,4407,8/27/2023,,fedex,Delivered
613,3909,8/25/2021,,fedex,Delivered
614,1241,4/22/2020,,fedex,Delivered
615,12436,5/15/2023,,fedex,Delivered
616,12870,11/28/2021,,fedex,Delivered
617,10894,4/29/2020,,fedex,Delivered
618,16422,1/28/2020,,fedex,Delivered
619,1043,1/7/2024,,fedex,Delivered
620,1747,10/13/2020,,fedex,Delivered
621,11196,5/13/2020,,fedex,Delivered
622,15121,9/12/2022,,fedex,Delivered
623,6751,4/6/2021,,fedex,Delivered
624,15559,3/22/2020,,fedex,Delivered
625,18485,10/15/2023,,fedex,Delivered
626,6209,2/16/2023,,fedex,Delivered
627,2011,5/18/2021,,fedex,Delivered
628,6909,4/20/2021,,fedex,Delivered
629,10970,3/30/2023,,fedex,Delivered
630,14919,10/15/2021,,fedex,Delivered
631,19179,6/11/2021,,fedex,Delivered
632,19981,1/10/2021,,fedex,Delivered
633,769,10/13/2020,,fedex,Delivered
634,15665,2/25/2021,,fedex,Delivered
